Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Allez 2023 (TRIDENT- Part 1),Low risk,<p>Computer-generated randomization</p>,Low risk,"<p>The interactive web response system (IWRS) assigned a unique treatment code, which dictated the treatment assignment and matching study drug kit for the subject. The requestor must use his or her own user identification and personal identification number when contacting the IWRS, and then give the relevant subject details to uniquely identify the subject.</p>",Low risk,"<p>To maintain the study blind, the study agent container had a label containing the study name and medication number or syringe number. The label did not identify the study agent in the container. The medication number or syringe number was entered in the case report form (CRF) when the drug was dispensed. The study agents were identical in appearance and packaging.</p>",Low risk,<p>Planned efficacy and safety evaluations were performed under blinded conditions</p>,Unclear risk,"<p>Low, balanced and explained attrition (from NCT website).</p>",Low risk,<p>Main outcomes reported as per the trial registration</p>,Low risk,<p>Balanced baseline characteristics. No other concerns.</p>
Allez 2023 (TRIDENT- Part 2),Low risk,<p>Computer-generated randomization</p>,Low risk,"<p>The interactive web response system (IWRS) assigned a unique treatment code, which dictated the treatment assignment and matching study drug kit for the subject. The requestor must use his or her own user identification and personal identification number when contacting the IWRS, and then give the relevant subject details to uniquely identify the subject.</p>",Low risk,"<p>To maintain the study blind, the study agent container had a label containing the study name and medication number or syringe number. The label did not identify the study agent in the container. The medication number or syringe number was entered in the case report form (CRF) when the drug was dispensed. The study agents were identical in appearance and packaging.</p>",Low risk,<p>Planned efficacy and safety evaluations were performed under blinded conditions</p>,Low risk,"<p>Slightly more patients left the tesnatilimab groups, however not enough to have likely influenced the outcomes (from NCT website)</p>",Low risk,<p>Outcomes reported appropriately and per the trial registration</p>,Low risk,<p>Balanced baseline characteristics. No other concerns.</p>
Buhl 2022 (STOP-IT),Low risk,"<p>Randomization was performed centrally at Herlev University Hospital, Denmark, by non-blinded laboratory personnel who did not have contact with the patients or physicians, and used opaque, sealed envelopes.</p>",Low risk,"<p>A non-blinded nurse, who was not involved in the treatment of the patients, received the allocation results and subsequently prepared and labeled infliximab or placebo medication accordingly</p>",Low risk,"<p>Matching infliximab and placebo infusions, participants and personnel were blinded</p>",Low risk,<p>The treating physicians who performed the assessments were blinded.</p>,Low risk,<p>Attrition was balanced and explained in both groups. Not likely to have influenced outcomes.</p>,Unclear risk,"<p>The trial has been registered and a protocol was published in 2014.</p>
<p>The primary and secondary outcomes were swapped, before blinding was broken, and this was justified as ""using the originally proposed primary endpoint would not have incorporated all data collected, given that patients discontinuing treatment for reasons other than relapse would not have been included in the analysis, thus decreasing the power"".&nbsp;</p>
<p>Authors stated that analyses of key secondary endpoints were performed only if the primary efficacy analysis yielded statistically significant results.</p>",Low risk,<p>Baseline characteristics are balanced. No other concerns.</p>
Chen 2020,Low risk,"<p>The paper states that ""patients were randomised by IRT to a treatment group"". Authors were asked for clarification: ""At the screening visit, patients were assigned a unique identification number by the interactive response technology (IRT) system. Once enrolled, patients were randomized by the IRT to a treatment group. During the double-blind period, all study investigators, study site personnel, and patients were blinded to each patient’s treatment. To maintain blinding, pre-packaged study drug kits were assigned by the IRT according to the patient’s randomized treatment schedule.""</p>",Low risk,"<p>The study centrally allocates, statiing: ""At the screening visit, patients were assigned a unique identification number by the interactive response technology (IRT) system. Once enrolled, patients were randomized by the IRT to a treatment group. During the DB period, all study investigators, study site personnel, and patients were blinded to each patient’s treatment.""</p>",Low risk,"<p>Measures were taken to ensure blinding. The study states that"" During the double blinded period, all study investigators, study site personnel, and patients were blinded to each patient’s treatment. .....To maintain blinding, prepackaged study drug kits were assigned by the IRT according to the patient’s randomized treatment schedule. The injections matched.""</p>",Low risk,<p>The study took the measures above to ensure blinding of outcome assessment.</p>,Low risk,"<p>Patient attrition was balanced between the two groups. Reasons are given for all except 1 in each group defined as 'other'. We asked the authors for clarification on what 'other' reasons were: ""If a reason for premature discontinuation is not safety related nor due to lack of efficacy, these are reported as free text under the “other” category. Examples include subjects moving to another city or the loss of their insurance.""</p>",Low risk,<p>Trial registration published and main outcomes reviewed and match the final published study. All expected appropriate outcomes are included.</p>,Low risk,<p>No other sources apparent. Baselien characteristics match between groups.</p>
Chen 2025,Unclear risk,"<p>""Study treatment blinding was established using an interactive web response system to assign patients to treatment groups according to the randomization schedule"": Unclear how the randomisation schedule was procuded.</p>",Low risk,"<p>""Study treatment blinding was established using an interactive web response system to assign patients to treatment groups according to the randomization schedule""</p>",Unclear risk,"<p>""All patients and study personnel, except those involved with drug preparation, were blinded to treatment assignment during the study."" Unclear who prepared the drugs and if they had any other role in the study.</p>",Unclear risk,<p>Clinical outcomes were patient self-reported and endoscopists must have been blinded according to the statement authors have made on blinding.</p>,Unclear risk,<p>20% of the placebo group discontinued vs 7% from the vedolizumab group. Withdrawal by patient and due to lack of efficacy elevated in the placebo group.</p>,Low risk,<p>Clinical pre-planned outcomes appropriate and reported but endoscopic not mentioned in the plan. NCT03234907.</p>,Unclear risk,"<p>The placebo group has higher prior biologic treatment rates, inadequate response and intolerance to them. It also has higher history of prior CD surgery.</p>"
Colombel 2007 (CHARM) - Induction (non-responders),Low risk,"<p>Author states that patients were ""<i>randomised centrally using an interactive voice response system</i>"".&nbsp;</p>",Low risk,"<p>Author states ""Patients, study coordinators, and study investigators were blinded to treatment assignment throughout the blinded portion of the study"".</p>",Low risk,"<p>Author states that ""Patients, study coordinators, and study investigators were blinded to treatment assignment throughout the blinded portion of the study"".&nbsp;</p>",Low risk,"<p>Author states that ""Patients, study coordinators, and study investigators were blinded to treatment assignment throughout the blinded portion of the study"".&nbsp;</p>",Unclear risk,<p>Attrition is balanced in all three groups but no reason provided for loss in numbers. Authors were contacted for clarification.</p>,High risk,<p>The authors have not reported the one primary outcome (clinical remission) as reported in the trial registration for all groups of non-responders</p>,Unclear risk,"<p>Baseline characteristics not reported for the three groups - placebo, ADA 40mg eow and ADA 40mg weekly. Authors were contacted for clarification.</p>"
Colombel 2007 (CHARM) - Maintenance (responders),Low risk,"<p>Author states that patients were ""<i>randomised centrally using an interactive voice response system</i>"".&nbsp;</p>",Low risk,"<p>Author states ""Patients, study coordinators, and study investigators were blinded to treatment assignment throughout the blinded portion of the study"".&nbsp;</p>",Low risk,"<p>Author states that ""Patients, study coordinators, and study investigators were blinded to treatment assignment throughout the blinded portion of the study"". &nbsp;</p>",Low risk,"<p>Author states that ""Patients, study coordinators, and study investigators were blinded to treatment assignment throughout the blinded portion of the study"".&nbsp;</p>",Unclear risk,"<p>Very high attrition in the placebo responder group compared to the adalimumab responders groups. In placebo, 32/170 responders had completed the 56 week while 77/172 and 82/157 were completion for the adalimumab group eow and weekly, respectively. Whilst adverse events was mentioned as the most common, full data for discontunuations is not given.</p>",Low risk,<p>The one outcome in the trial registration (clinical remission) has been reported</p>,Unclear risk,"<p>Baseline characteristics not reported for the three groups - placebo, ADA 40mg eow and ADA 40mg weekly. Authors were contacted for clarification.</p>"
Colombel 2010 (SONIC),Low risk,"<p>Author states that ""Randomisation was performed centrally with the use of an adaptive randomisation procedure stratified according to centre, the duration of Crohn’s disease (&lt;3 years or ≥3 years), and status with respect to the systemic corticosteroid dose (the equivalent of &lt;20 mg or ≥20 mg of prednisone daily).""</p>",Low risk,<p>Central allocation concealment.</p>,Low risk,"<p>Patients were ""followed through week 30...with blinding maintained"" and each group received infusions (placebo or infliximab) and tablets (placebo or azathioprine).</p>",Low risk,"<p>Authors state that ""All colonoscopies were videotaped with the use of a standard protocol and interpreted by a single reviewer, who was unaware of study-group assignments and the timing of the procedure (i.e., at baseline or week 26).""</p>",Low risk,"<p>There are relatively higher rates of attrition with AZA only having 86 out of 162 patients (53.1%), IFX only having 111 out of 166 patients (66.9%), and combination therapy group having 121 out of 180 patients (67.2%). We did not think it was enough to bias outcomes.</p>",Low risk,"<p>Outcomes reported match the trial registration, and appropriate for the review.</p>",Low risk,<p>Baseline characteristics are reported and balanced. No other sources of bias apparent.</p>
Colombel 2023 - LIBERTY-CD,Unclear risk,<p>No details (abstract only publication)</p>,Unclear risk,<p>No details (abstract only publication)</p>,Low risk,<p>Placebo-controlled trials</p>,Unclear risk,<p>No details (abstract only publication)</p>,Unclear risk,<p>35 patients did not complete the CT-P13 protocol vs 25 for the placebo. No further details.</p>,Low risk,<p>Registered prospectively (NCT03945019). Outcomes reported are appropriate and match the trial registration.</p>,Unclear risk,<p>Sex imbalance at randomisation</p>
D'Haens 1999 (refractory CD),Low risk,"<p>Randomization was performed centrally by an independent organization (PPD Pharmaco,Austin, TX).</p>",Low risk,"<p>The infliximab and placebo solutions were prepared by a pharmacist at each site. The investigators, all study personnel, and the patients were blinded to the treatment assignments.</p>",Low risk,<p>The placebo preparation contained 0.1% human serum albumin instead of infliximab and was identical in appearance to the infliximab solution.</p>,Low risk,"<p>All biopsy specimens were routinely processed by H&amp;E staining and interpreted by a single, blinded gastrointestinal pathologist in random order. It's not mentioned how the CDAI was assessed.</p>",Low risk,<p>Low and balanced attrition with reasons</p>,Unclear risk,"<p>It's not entirely clear from the methods section but the intended outcomes seem to have been mucosal healing and histological changes and they have been reported. However, there is no trial registration for this study.</p>",Low risk,<p>No major imabalances. No other sources of bias.</p>
D'Haens 2008,Low risk,"<p>Patients were randomised according to a ""computer-generated schedule"".</p>",Low risk,<p>Person independent of the trial performed the allocation</p>,High risk,<p>Open-label trial</p>,High risk,<p>Open-label trial</p>,Low risk,<p>Attrition was accounted for and balanced between both groups.</p>,Low risk,<p>Trial registration was NCT00554710 and the study reported according to the primary outcomes stated - proprotion of patients with corticosteroid-free remission and remission without surgical resection.</p>,Low risk,<p>Baseline characteristics reported and balanced in both groups. No other apparent sources of bias.</p>
D'Haens 2022 (ADVANCE),Low risk,<p>Randomly assigned with interactive response technology</p>,Low risk,"<p>Randomly assigned with interactive response technology. An unmasked pharmacist (or<br>
 qualified designee) prepared the intravenous solutions.</p>",Low risk,<p>All patients and study personnel (excluding pharmacists who prepared intravenous solutions) were masked to treatment allocation throughout the study. Saline of equal volume to study drug was administered as the placebo. Placebo and study drug were administered via covered syringes.</p>,Low risk,<p>All patients and study personnel (excluding pharmacists who prepared intravenous solutions) were masked to treatment allocation throughout the study. Saline of equal volume to study drug was administered as the placebo. Placebo and study drug were administered via covered syringes.</p>,Low risk,"<p>10% attrition in the placebo group, compared to 3% and 5% in the other two. However, we don't think this difference has influenced outcome results to a great extent.</p>",Low risk,<p>Outcomes stated and reported per trial registration</p>,Low risk,<p>No differences at baseline. No other concerns.</p>
Duan 2013,Unclear risk,"<p>Authors report that ""patients were randomly divided into infliximab group, azathioprine group, and infliximab combined with azathioprine group"" but do not clarify how this was performed.&nbsp;</p>",Unclear risk,<p>Authors have not described any method of concealment during assignment to treatment groups.&nbsp;</p>,Unclear risk,<p>Authors have not described blinding of participants or personnel.&nbsp;</p>,Unclear risk,<p>No evidence and/or method of blinding the endoscopist or clinician collecting CDAI score or interpreter has been described. &nbsp;</p>,Low risk,<p>No evidence of attrition from the original 24 enroled and randomised to each group.</p>,Unclear risk,<p>No protocol or trial registration found but study reports on CDAI and endoscopic mucosal healing</p>,Low risk,"<p>Reported baseline characteristics of no significant difference - age, gender. No other sources of bias are apparent.</p>"
