Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Baima 2016,2016,PUB,26397054,<p>A prospective and longitudinal study was carried out in patients with CD treated with anti-TNF agents. Patients with biologic therapy indication were randomized to receive either Infliximab or Adalimumab</p>,<p>16</p>,<p>Infliximab vs Adalimumab</p>,"<p>Clinical response&nbsp;</p>
<p>Quality of Life</p>","<p>Unclear if this is an RCT or not and we've written to the authors</p>
<p>jpbaima@yahoo.com.br&nbsp;</p>"
EUCTR2005-004104-37,2006,PUB,26397056,<p>RCT</p>,<p>600</p>,"<p>certolizumab pegol</p>
<p>150 +/- 15 mg/ml&nbsp;</p>
<p>with subcutaneous placebo</p>",<p>Response rate with response defined as at least 100 point decrease of CDAI score from baseline at week 6.</p>,"<p>Sponsor: UCB S.A.</p>
<p>Is this connected to the Sandborn certolizumab pegol study? - results in the trial reg website</p>
<p>wsandborn@ucsd.edu</p>"
EUCTR2007-001913-41,2007,PUB,26397058,<p>RCT</p>,<p>550</p>,"<p>certolizumab pegol</p>
<p>150 +/- &nbsp;15 mg/ml</p>",<p>Primary endpoint: The proportion of subjects in clinical remission (clinical remission is defined as a total Crohn’s Disease Activity Index (CDAI) score of 150 or less) at week 6</p>,"<p>Is this connected to the Sandborn certolizumab pegol study? - results in the trial reg website</p>
<p>wsandborn@ucsd.edu</p>
<p>Sponsor:&nbsp;<br>
 UCB Celltech</p>"
EUCTR2007-003239-21,2008,PUB,26397060,<p>RCT</p>,<p>150</p>,"<p>IG= Certolizumab pegol&nbsp;</p>
<p>150 to +/- 15 mg/ml milligram(s)/millilitre</p>",<p>Primary outcome: Clinical response rate at week 6 defined as HBI decrease from baseline ≥ 3 points.</p>,"<p>Is this connected to the Sandborn certolizumab pegol study? - results in the trial reg website</p>
<p>wsandborn@ucsd.edu</p>
<p>Sponsor: UCB PHARMA</p>"
EUCTR2008-001131-35 (AZORIX),2008,PUB,26397062,<p>RCT</p>,<p>128 planned</p>,"<p>IG: infliximab</p>
<p>CG: azathioprine</p>",<p>Number of patients suffering from a relapse during the 12 months follow up period.</p>,"<p>Seems to have been discontinued without any results</p>
<p>E.J. Eshuis - e.j.eshuis@amc.nl</p>
<p>Sponsor:&nbsp;Academic Medical Center, department of Gastroenterology and hepatology</p>"
EUCTR2008-004926-18 (CHAMP),2008,PUB,26397065,<p>RCT</p>,<p>100 planned</p>,"<p>Adalimumab</p>
<p>Infliximab</p>","<p>Steroid free remission after 10 weeks, defined as CDAI ≤ 150 pts. and no steroids (oral or topical)</p>",<p>No report of this trial and no contact information</p>
EUCTR2012-001723-12,2013,PUB,26397067,<p>RCT</p>,<p>102</p>,"<p>Adalimumab</p>
<p>Placebo</p>","<p>Primary outcome:&nbsp;</p>
<p>Success of endoscopic dilatation at week 8</p>
<p>Secondary outcome:&nbsp;</p>
<p>-The estimation of stenosis measure , the endoscopic pre and post-dilatation stenosis diameter will be estimated<br>
 -The success of endoscopic dilatation at week 52(absence of clinical subocclusion, no necessity of surgical nor endoscopic dilatation)<br>
 -Mucosal cure at week 8<br>
 -Histological cure at week 8<br>
 -Proportion of patients the develop anti-adalimumab antibodies</p>","<p>(prematurely ended)</p>
<p>Sponsor:&nbsp;AbbVie Ltd</p>"
EUCTR2020-002701-26,2021,PUB,26397069,<p>RCT</p>,<p>70</p>,<p>JNJ-64304500 as Add-on Therapy to Standard of Care Biologic Therapy with Anti-Tumor Necrosis Factor Alpha or Anti-Interleukin 12/23</p>,"<p>Primary outcome:&nbsp;</p>
<ol>
 <li>Descriptive analyses of adverse events (AEs), clinical laboratory tests, and vital signs at Week 1</li>
 <li>Change from baseline in the CDAI score at Week 12.</li>
</ol>
<p>Secondary outcome: 1. Analyses of the following at Week 12:<br>
 - Proportion of participants achieving a clinical response.<br>
 - Proportion of participants achieving a clinical remission.<br>
 - Change in the simple endoscopic score for Crohn's disease (SES-CD) from baseline.<br>
 - Proportion of participants achieving an endoscopic response<br>
 - Proportion of participants achieving an endoscopic remission<br>
 - Change in abdominal pain (AP) from baseline at all postbaseline visits<br>
 - Proportion of participants achieving a Patient-Reported Outcome (PRO)-2 remission<br>
 2. Analyses of the following at all applicable visits from Week 0 through Week 26:<br>
 - Serum concentrations of investigational drug<br>
 - Incidence and titers of antibodies to investigational drug.<br>
 - Incidence of neutralizing antibodies to investigational drug.<br>
 - Change in PD biomarker levels.</p>","<p>prematurely ended &nbsp;- ClinicalTrialsEU@its.jnj.com</p>
<p>Sponsor:&nbsp;Janssen Research &amp; Development, LLC</p>"
Huang 2012,,PUB,26397071,<p>RCT</p>,<p>48</p>,"<p>ATI group= Infliximab first 14 weeks</p>
<p>AZA group= only azathioprine</p>","<p>Primary outcome: clinical efficacy, adverse reactions, treatment effective time and recurrences</p>",<p>We were unable to contact the authors or retrieve a report of the results of this trial</p>
JPRN-UMIN000005689,2011,PUB,26397073,<p>RCT</p>,<p>60</p>,"<p>IG1=Patients in the combination therapy of GMA with azathioprine receive intensive GMA (twice per week, total 10 sessions) and oral azathioprine.</p>
<p>IG2= Patients in the combination therapy of Infliximab and azathioprine receive infusion of IFX (at week 0, 2, 6) and oral azathioprine.</p>","<p>Primary:&nbsp;</p>
<p>Remission (CDAI&lt;150) rate at the end of the study (intensive GMA plus azathioprine: at week 7, Infliximab plus azathioprine: at week 8)</p>
<p>Secondary:&nbsp;</p>
<p>1) Clinical response (70 points reduction in their CDAI)<br>
 2) Reduction in CRP<br>
 3) Cytokine profile in CD4 positive T cell<br>
 4) Cumulative non-relapse rate<br>
 5) Safety assessment</p>","<p>Unclear if this meets our intervention inclusion criteria - No full report</p>
<p>The authors were contacted for a full report at minomats@kuhp.kyoto-u.ac.jp and hiropy_n@kuhp.kyoto-u.ac.jp</p>
<p>says unpublished in trial result https://center6.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000006728</p>
<p>Sponsor: Department of Gastroenterology and Hepatology, Kyoto University Hospital</p>"
