Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Barker 2004,Low risk,<p><b>Comment: </b>computer-generated (personal communication with trial author)</p>,Low risk,<p><b>Comment: </b>sealed envelopes (personal communication with trial author)</p>,High risk,"<p><b>Evidence: </b>""Forty-seven patients were included in this randomised, controlled, unblinded study""</p>
<p><b>Comment: </b>classified as high risk because the investigator was involved in all stages of the study</p>",High risk,"<p><b>Evidence: </b>""Forty-seven patients were included in this randomised, controlled, unblinded study""</p>",High risk,"<p><b>Comment: </b>in this small sample, there were five fewer participants in the routine replacement group. No explanation was provided for the unequal sample size. No dropouts or loss to follow-up were reported.</p>",Low risk,<p><b>Comment: </b>Phlebitis was the only outcome planned.</p>,High risk,"<p><b>Comment: </b>the chief investigator allocated participants and was responsible for outcome evaluation.</p>
<p>No sample size calculation</p>"
Chin 2018,Low risk,"<p>""Randomisation was performed by an independent research nurse using an online program"" p. 1720</p>",Low risk,<p>Sealed sequentially numbered opaque envelopes</p>,Low risk,"<p>""Caregivers (nursing staff) were not blinded to the allocation."" p.1720</p><p><b>Comment: </b>neither participants nor clinical personnel were blinded, but review authors do not believe this would introduce bias</p>",High risk,"<p><b>Comment: </b>No evidence of outcome assessment blinding.&nbsp;</p>
<p>Nursing staff recorded complication once every 8 hours. When a complication was suspected, nursing staff alerted medical staff for assessment.&nbsp;</p>",Low risk,<p><b>Comment: </b>Intention to treat analyses performed</p>,High risk,<p><b>Comment: </b>The trial was registered with ACTRN12615000827538. &nbsp;The secondary outcomes registered were not reported in the study results in association with extravasation injury and phlebitis</p>,Unclear risk,<p><b>Comment: </b>A statistically (p=0.01) higher risk for sepsis in the routine removal group (n=30; 55.6% vs 44; 75.9%)</p>
Hosseinzadeh 2014,Low risk,<p><b>Comment:</b> Randomisation completed via random number table</p>,Unclear risk,"<p><b>Comment: </b>Unknown whether allocation concealment was completed, unable to contact author</p>",Low risk,<p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias</p>,High risk,<p><b>Comment</b>: Nil outcomes were blinded during the study</p>,Low risk,<p><b>Comment: </b>All patients accounted for during the trial.&nbsp;</p>,Low risk,<p><b>Comment:</b> The study was registered on a recognised clinical trials registry and all pre-defined outcomes were reported.</p>,Low risk,<p>No other known risks of bias</p>
Li 2021,Low risk,"<p>""Participants were randomised into either clinically indicated or routine replacement group using a computer-generated allocation randomised sequence"" p. 3</p>",Low risk,"<p>""The group allocations were concealed in opaque, sealed envelopes which were numbered consecutively."" p.3</p>",Low risk,"<p>""It was impossible to blind the participants or the bedside nurses because the catheters in the clinically indicated group were still in situ after 4 days."" p.3&nbsp;</p><p><b>Comment: </b>neither participants nor clinical personnel were blinded, but review authors do not believe this would introduce bias</p>",High risk,"<p><b>Comment: </b>Unblinded study</p>
<p><b>Evidence: </b>""staff working in the hospital laboratory, who tested the blood samples were blinded to participant assignment as they did not have contact with patients."" p. 3</p>",Low risk,<p><b>Comment: </b>Attrition rate was within sample size calculated attrition &nbsp;</p>,Low risk,<p><b>Comment: </b>The trial was registered on ChiCTRIOR17010665 and outcomes were reported as per protocol</p>,Low risk,<p>No other known risks of bias</p>
Lin 2021,Low risk,"<p><b>Evidence: </b>""Participants in the study were randomly assigned to the experimental group or control group using computer-generated random numbers.""</p>",Unclear risk,"<p><b>Evidence: </b>""Participants in the study were randomly assigned to the experimental group or control group using computer-generated random numbers.""</p>",Low risk,"<p><b>Evidence</b>: ""an unblinded study""</p><p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias.</p>",High risk,<p>Page 3 and 4 describe interrater assessments – no blinding evident across outcome assessment</p>,Low risk,"<p>Moderate loss to follow up (fully explained in Figure 1. Page 5</p>
<p>Unclear exact number ?18 or 12 from CIR and 10 from control</p>",Low risk,<p>Comment: All outcomes reported as per methods&nbsp;</p>,Low risk,"<p>Intention to treat not mentioned</p>
<p>Funded by hospital grants</p>"
Lu 2021,Low risk,"<p>""A random number table method was used. The patients who met the inclusion and exclusion criteria were matched with 60 random numbers generated in advance according to the order of admission.""</p>",Unclear risk,<p><b>Comment: </b>Allocation concealment was not stated.</p>,Low risk,"<p><b>Evidence ""</b>The yellow or blue star-shaped logo is pasted near the location of the tube for the block group and reminder, recorded after the catheter.""</p>
<p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias</p>",High risk,<p>This was a single blind study but the author failed to identify in the article who was blinded in the study.&nbsp;</p>,High risk,"<p><b>Evidence: </b>""If any patients withdrew or were eliminated, patients were reselected in order.""&nbsp;</p>
<p><b>Comment: </b>No data appeared to be collected in relation to the reasons why patients withdraw or where eliminated. The authors have failed to supply a CONSORT flow diagram for participants.&nbsp;</p>",High risk,<p><b>Comment: </b>The methodology of the paper is investigating routine replacement (96hrs) versus clinically indicated replacement. Results state the mean dwell time routine replacement cohort was 69.75 ± 25.54. This is well below the scheduled 96 hours but no indication whether the results were analysed per protocol or by intention to treat. The difference between to two groups for mean dwelling time was significant.&nbsp;</p>,Low risk,<p><b>Comment: </b>The study appears to be free of other sources of bias</p>
Nishanth 2009,Low risk,"<p><b>Evidence: </b>""The patients were allocated to either study or the control group using block randomisation method. The patients were divided into 6 blocks with block sizes of 8 or 10 or 12 arranged randomly. Within each of these blocks the study and control groups were randomly arranged using computer generated random numbers.""</p>",High risk,"<p><b>Evidence:</b> ""Group name was placed (on) an opaque serially numbered sealed envelope (SNOSE).""</p>
<p><b>Comment: </b>presumably the trial authors meant 'in' an opaque serially numbered sealed envelope - based on subsequent information. The investigator was responsible for allocation.</p>",Low risk,"<p><b>Evidence: </b>""..unblinded study""</p><p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias</p>",High risk,"<p><b>Evidence: </b>""...unblinded study""</p>",Low risk,<p><b>Comment:</b> data for all participants were available</p>,Low risk,<p><b>Comment: </b>stated outcomes were reported but original protocol not sighted</p>,High risk,"<p>Extreme results: in this small trial, 100% of participants in the clinically indicated group developed phlebitis compared with 9% in the 2-day change group, which suggests that chance or other unknown bias affected results.</p>"
Rickard 2010,Low risk,"<p><b>Evidence: ""</b>Patients were randomly assigned (computer generated)""</p>",Low risk,"<p><b>Evidence:</b> ""Assignment was concealed until randomisation by use of a telephone service""</p>",Low risk,"<p><b>Evidence: </b>""Open (non-blinded) parallel group RCT""</p>
<p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias</p>",High risk,"<p><b>Comment: </b>although laboratory staff were blinded for microbiological outcomes, there were no BSIs; consequently, all other outcome assessment was at high risk of bias.</p>",Low risk,<p><b>Comment: </b>results from all enrolled participants were reported</p>,Low risk,<p><b>Comment: </b>the protocol was available. All nominated outcomes were reported</p>,Unclear risk,<p><b>Comment: </b>significantly more participants in the routine-change group received IV antibiotics (73.1% versus 62.9%)</p>
Rickard 2012,Low risk,"<p><b>Evidence:</b> ""Random allocations were computer-generated""</p>",Low risk,"<p><b>Evidence: </b>""Random allocations were computer-generated on a hand-held device, at the point of each patient's entry, and thus were concealed to patients, clinical staff and research staff until this time""</p>",Low risk,"<p><b>Evidence: </b>""Patients and clinical staff could not be blinded ........Research nurses were similarly not masked""<br></p>
<p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias</p>",High risk,"<p><b>Evidence:</b> ""... laboratory staff were masked for rating of all microbiological end-points, and a masked, independent medical rater diagnosed catheter-related infections and all bloodstream infections""</p>
<p><b>Comment: </b>diagnosis of all other outcomes was unblinded</p>",Low risk,<p>ITT analysis reported</p>,Low risk,<p>The protocol was available and all pre-defined outcomes were reported</p>,Low risk,<p>No other known risks of bias</p>
Van Donk 2009,Low risk,<p><b>Comment:</b> computer-generated allocation (personal communication with trial author)</p>,Low risk,"<p><b>Evidence:</b>: ""Randomization was concealed until treatment via sealed envelopes""</p>",Low risk,<p><b>Comment: </b>neither participants nor clinical personnel were blinded but review authors do not believe this would introduce bias</p>,High risk,<p>Outcome assessment unable to be blinded</p>,Low risk,<p><b>Comment: </b>participant flow chart provided. Results from all enrolled participants were reported</p>,Low risk,<p><b>Comment: </b>all planned outcomes were reported</p>,Low risk,<p>No other known risks of bias</p>
